time;logger;level;message;exception
2012-06-07 14:23:42.0993;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'user/user@host.com' was found;
2012-06-07 14:23:42.0993;Raven.Database.Server.HttpServer;Debug;Request #  24: GET     -     0 ms - <default>  - 200 - /docs/user/user@host.com;
2012-06-07 14:30:37.0010;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-06-07 14:30:37.0010;Raven.Database.Server.HttpServer;Debug;Request #  25: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-06-07 14:30:38.6232;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'user/user@host.com' was found;
2012-06-07 14:30:38.6232;Raven.Database.Server.HttpServer;Debug;Request #  26: GET     -     0 ms - <default>  - 200 - /docs/user/user@host.com;
2012-06-07 14:34:18.4542;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-06-07 14:34:18.4542;Raven.Database.Server.HttpServer;Debug;Request #  27: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-06-07 14:34:29.0942;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'user/user@host.com' was found;
2012-06-07 14:34:29.0942;Raven.Database.Server.HttpServer;Debug;Request #  28: GET     -     0 ms - <default>  - 200 - /docs/user/user@host.com;
2012-06-07 14:38:54.6268;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-06-07 14:38:54.6268;Raven.Database.Server.HttpServer;Debug;Request #  29: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-06-07 14:40:26.4884;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-06-07 14:40:26.4884;Raven.Database.Server.HttpServer;Debug;Request #  30: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
